Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
trial_P01_T01_A_no_robot.MOV,2026-04-17 14:38:10.382,,Media file,player #1:video\trial_P01_T01_A_no_robot.MOV,0.0,107.379,131.682,30.000,No focal subject,21.704,non_assembly,Not defined,STATE,2.033,7.167,5.134,video\trial_P01_T01_A_no_robot.MOV,61,215,,,,
trial_P01_T01_A_no_robot.MOV,2026-04-17 14:38:10.382,,Media file,player #1:video\trial_P01_T01_A_no_robot.MOV,0.0,107.379,131.682,30.000,No focal subject,21.704,non_assembly,Not defined,STATE,8.368,8.735,0.367,video\trial_P01_T01_A_no_robot.MOV,251,262,,,,
trial_P01_T01_A_no_robot.MOV,2026-04-17 14:38:10.382,,Media file,player #1:video\trial_P01_T01_A_no_robot.MOV,0.0,107.379,131.682,30.000,No focal subject,21.704,non_assembly,Not defined,STATE,19.468,19.835,0.367,video\trial_P01_T01_A_no_robot.MOV,584,595,,,,
trial_P01_T01_A_no_robot.MOV,2026-04-17 14:38:10.382,,Media file,player #1:video\trial_P01_T01_A_no_robot.MOV,0.0,107.379,131.682,30.000,No focal subject,21.704,non_assembly,Not defined,STATE,20.668,22.535,1.867,video\trial_P01_T01_A_no_robot.MOV,620,676,,,,
trial_P01_T01_A_no_robot.MOV,2026-04-17 14:38:10.382,,Media file,player #1:video\trial_P01_T01_A_no_robot.MOV,0.0,107.379,131.682,30.000,No focal subject,21.704,non_assembly,Not defined,STATE,41.805,45.272,3.467,video\trial_P01_T01_A_no_robot.MOV,1254,1358,,,,
trial_P01_T01_A_no_robot.MOV,2026-04-17 14:38:10.382,,Media file,player #1:video\trial_P01_T01_A_no_robot.MOV,0.0,107.379,131.682,30.000,No focal subject,21.704,non_assembly,Not defined,STATE,53.972,55.705,1.733,video\trial_P01_T01_A_no_robot.MOV,1619,1671,,,,
trial_P01_T01_A_no_robot.MOV,2026-04-17 14:38:10.382,,Media file,player #1:video\trial_P01_T01_A_no_robot.MOV,0.0,107.379,131.682,30.000,No focal subject,21.704,non_assembly,Not defined,STATE,58.973,61.040,2.067,video\trial_P01_T01_A_no_robot.MOV,1769,1831,,,,
trial_P01_T01_A_no_robot.MOV,2026-04-17 14:38:10.382,,Media file,player #1:video\trial_P01_T01_A_no_robot.MOV,0.0,107.379,131.682,30.000,No focal subject,21.704,non_assembly,Not defined,STATE,65.573,68.340,2.767,video\trial_P01_T01_A_no_robot.MOV,1967,2050,,,,
trial_P01_T01_A_no_robot.MOV,2026-04-17 14:38:10.382,,Media file,player #1:video\trial_P01_T01_A_no_robot.MOV,0.0,107.379,131.682,30.000,No focal subject,21.704,non_assembly,Not defined,STATE,71.873,72.140,0.267,video\trial_P01_T01_A_no_robot.MOV,2156,2164,,,,
trial_P01_T01_A_no_robot.MOV,2026-04-17 14:38:10.382,,Media file,player #1:video\trial_P01_T01_A_no_robot.MOV,0.0,107.379,131.682,30.000,No focal subject,21.704,non_assembly,Not defined,STATE,97.743,100.477,2.734,video\trial_P01_T01_A_no_robot.MOV,2932,3014,,,,
trial_P01_T01_A_no_robot.MOV,2026-04-17 14:38:10.382,,Media file,player #1:video\trial_P01_T01_A_no_robot.MOV,0.0,107.379,131.682,30.000,No focal subject,21.704,non_assembly,Not defined,STATE,108.478,109.412,0.934,video\trial_P01_T01_A_no_robot.MOV,3254,3282,,,,
